date,IC4WSA
1994-12-10,327000.0
1994-12-17,328000.0
1994-12-24,324250.0
1994-12-31,323000.0
1995-01-07,325250.0
1995-01-14,329500.0
1995-01-21,332250.0
1995-01-28,333500.0
1995-02-04,330000.0
1995-02-11,330250.0
1995-02-18,334750.0
1995-02-25,337750.0
1995-03-04,341500.0
1995-03-11,341250.0
1995-03-18,341250.0
1995-03-25,340250.0
1995-04-01,339250.0
1995-04-08,339250.0
1995-04-15,342250.0
1995-04-22,346500.0
1995-04-29,354000.0
1995-05-06,358250.0
1995-05-13,361000.0
1995-05-20,368000.0
1995-05-27,370250.0
1995-06-03,369750.0
1995-06-10,370000.0
1995-06-17,370250.0
1995-06-24,366250.0
1995-07-01,364500.0
1995-07-08,365750.0
1995-07-15,368500.0
1995-07-22,376500.0
1995-07-29,375500.0
1995-08-05,370250.0
1995-08-12,361250.0
1995-08-19,354250.0
1995-08-26,356250.0
1995-09-02,357250.0
1995-09-09,361750.0
1995-09-16,365250.0
1995-09-23,363750.0
1995-09-30,363750.0
1995-10-07,364500.0
1995-10-14,362750.0
1995-10-21,366000.0
1995-10-28,371500.0
1995-11-04,373000.0
1995-11-11,373250.0
1995-11-18,376500.0
1995-11-25,377000.0
1995-12-02,375250.0
1995-12-09,369250.0
1995-12-16,367750.0
1995-12-23,366500.0
1995-12-30,363000.0
1996-01-06,366750.0
1996-01-13,356750.0
1996-01-20,367000.0
1996-01-27,374000.0
1996-02-03,377250.0
1996-02-10,390750.0
1996-02-17,382750.0
1996-02-24,377250.0
1996-03-02,375750.0
1996-03-09,369250.0
1996-03-16,369500.0
1996-03-23,384750.0
1996-03-30,391000.0
1996-04-06,393000.0
1996-04-13,386250.0
1996-04-20,371750.0
1996-04-27,359250.0
1996-05-04,351500.0
1996-05-11,350250.0
1996-05-18,344500.0
1996-05-25,344500.0
1996-06-01,345000.0
1996-06-08,344750.0
1996-06-15,344000.0
1996-06-22,343500.0
1996-06-29,342750.0
1996-07-06,340500.0
1996-07-13,341750.0
1996-07-20,339500.0
1996-07-27,337000.0
1996-08-03,333000.0
1996-08-10,329000.0
1996-08-17,330000.0
1996-08-24,332500.0
1996-08-31,333250.0
1996-09-07,333750.0
1996-09-14,334250.0
1996-09-21,338000.0
1996-09-28,342750.0
1996-10-05,343250.0
1996-10-12,342250.0
1996-10-19,338000.0
1996-10-26,339000.0
1996-11-02,338750.0
1996-11-09,337000.0
1996-11-16,338750.0
1996-11-23,337500.0
1996-11-30,337000.0
1996-12-07,344000.0
1996-12-14,346500.0
1996-12-21,347250.0
1996-12-28,353500.0
1997-01-04,351500.0
1997-01-11,344500.0
1997-01-18,343250.0
1997-01-25,339000.0
1997-02-01,335500.0
1997-02-08,333250.0
1997-02-15,325250.0
1997-02-22,320750.0
1997-03-01,317750.0
1997-03-08,318250.0
1997-03-15,319750.0
1997-03-22,318000.0
1997-03-29,319000.0
1997-04-05,321000.0
1997-04-12,323750.0
1997-04-19,324000.0
1997-04-26,327000.0
1997-05-03,331250.0
1997-05-10,328250.0
1997-05-17,329750.0
1997-05-24,324500.0
1997-05-31,319250.0
1997-06-07,322000.0
1997-06-14,325250.0
1997-06-21,325250.0
1997-06-28,325500.0
1997-07-05,329750.0
1997-07-12,328000.0
1997-07-19,324250.0
1997-07-26,320250.0
1997-08-02,313750.0
1997-08-09,314000.0
1997-08-16,324500.0
1997-08-23,329750.0
1997-08-30,332750.0
1997-09-06,328750.0
1997-09-13,321500.0
1997-09-20,319000.0
1997-09-27,315250.0
1997-10-04,314750.0
1997-10-11,312500.0
1997-10-18,312750.0
1997-10-25,310000.0
1997-11-01,310500.0
1997-11-08,311250.0
1997-11-15,313000.0
1997-11-22,313750.0
1997-11-29,315000.0
1997-12-06,317250.0
1997-12-13,316750.0
1997-12-20,317000.0
1997-12-27,313250.0
1998-01-03,312000.0
1998-01-10,314000.0
1998-01-17,321750.0
1998-01-24,322750.0
1998-01-31,323500.0
1998-02-07,318500.0
1998-02-14,313500.0
1998-02-21,318500.0
1998-02-28,319000.0
1998-03-07,318250.0
1998-03-14,317750.0
1998-03-21,316250.0
1998-03-28,315000.0
1998-04-04,316000.0
1998-04-11,312250.0
1998-04-18,311250.0
1998-04-25,311000.0
1998-05-02,309000.0
1998-05-09,309500.0
1998-05-16,309000.0
1998-05-23,308500.0
1998-05-30,313000.0
1998-06-06,313000.0
1998-06-13,314500.0
1998-06-20,324500.0
1998-06-27,338000.0
1998-07-04,352000.0
1998-07-11,351750.0
1998-07-18,343250.0
1998-07-25,333000.0
1998-08-01,324250.0
1998-08-08,323250.0
1998-08-15,321500.0
